Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
BiomassEquation,CruiseID,TEXT,,X,Cruise,X,,,,,
BiomassEquation,Species,TEXT,,,,X,,,,,
BiomassEquation,Product,TEXT,,,,X,,,,,
BiomassEquation,Component,TEXT,,,,X,,,,,
BiomassEquation,LiveDead,TEXT,,,,X,,,,,
BiomassEquation,FIAcode,INTEGER,,,,X,,,,,
BiomassEquation,Equation,TEXT,,,,,,,,,
BiomassEquation,PercentMoisture,REAL,,,,,,,,,
BiomassEquation,PercentRemoved,REAL,,,,,,,,,
BiomassEquation,MetaData,TEXT,,,,,,,,,
BiomassEquation,WeightFactorPrimary,REAL,,,,,,,,,
BiomassEquation,WeightFactorSecondary,REAL,,,,,,,,,
BiomassEquation,CreatedBy,TEXT,,,,,,,,,
BiomassEquation,Created_TS,DATETIME,,,,,,,,,
BiomassEquation,ModifiedBy,TEXT,,,,,,,,,
BiomassEquation,Modified_TS,DATETIME,,,,,,,,,
