Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
FixCNTTallyPopulation,FixCNTTallyPopulation_CN,INTEGER,X,,,,,,,,
FixCNTTallyPopulation,CruiseID,TEXT,,X,SubPopulation,X,,,,,
FixCNTTallyPopulation,StratumCode,TEXT,,X,SubPopulation,X,,,,,
FixCNTTallyPopulation,SampleGroupCode,TEXT,,X,SubPopulation,X,,,,,
FixCNTTallyPopulation,SpeciesCode,TEXT,,X,SubPopulation,X,,,,,
FixCNTTallyPopulation,LiveDead,TEXT,,X,SubPopulation,X,,,,,
FixCNTTallyPopulation,IntervalSize,INTEGER,,,,,,,,,
FixCNTTallyPopulation,Min,INTEGER,,,,,,,,,
FixCNTTallyPopulation,Max,INTEGER,,,,,,,,,
FixCNTTallyPopulation,CreatedBy,TEXT,,,,,,,,,
FixCNTTallyPopulation,Created_TS,DATETIME,,,,,,,,,
FixCNTTallyPopulation,ModifiedBy,TEXT,,,,,,,,,
FixCNTTallyPopulation,Modified_TS,DATETIME,,,,,,,,,
