Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
SampleGroupDefault,SampleGroupDefault_CN,INTEGER,X,,,,,,,,
SampleGroupDefault,SampleGroupDefaultID,TEXT,,,,X,,,,,
SampleGroupDefault,Region,TEXT,,X,"LK_District,LK_Forest,LK_Region",,,,,,
SampleGroupDefault,Forest,TEXT,,X,"LK_District,LK_Forest",,,,,,
SampleGroupDefault,District,TEXT,,X,LK_District,,,,,,
SampleGroupDefault,SampleGroupCode,TEXT,,,,,,,,,
SampleGroupDefault,CutLeave,TEXT,,,,,,,,,
SampleGroupDefault,UOM,TEXT,,X,LK_UOM,,,,,,
SampleGroupDefault,PrimaryProduct,TEXT,,X,LK_Product,,,,,,
SampleGroupDefault,SecondaryProduct,TEXT,,X,LK_Product,,,,,,
SampleGroupDefault,BiomassProduct,TEXT,,,,,,,,,
SampleGroupDefault,DefaultLiveDead,TEXT,,,,,,,,,
SampleGroupDefault,SamplingFrequency,INTEGER,,,,,,,,,
SampleGroupDefault,InsuranceFrequency,INTEGER,,,,,,,,,
SampleGroupDefault,KZ,INTEGER,,,,,,,,,
SampleGroupDefault,BigBAF,INTEGER,,,,,,,,,
SampleGroupDefault,TallyBySubPop,BOOLEAN,,,,,,,,,
SampleGroupDefault,UseExternalSampler,BOOLEAN,,,,,,,,,
SampleGroupDefault,TallyMethod,TEXT,,,,,,,,,
SampleGroupDefault,Description,TEXT,,,,,,,,,
SampleGroupDefault,MinKPI,INTEGER,,,,,,,,,
SampleGroupDefault,MaxKPI,INTEGER,,,,,,,,,
SampleGroupDefault,SmallFPS,REAL,,,,,,,,,
