Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
StratumTemplateTreeFieldSetup,StratumTemplateTreeFieldSetup_CN,INTEGER,X,,,,,,,,
StratumTemplateTreeFieldSetup,StratumTemplateName,TEXT,,X,StratumTemplate,X,,,,,
StratumTemplateTreeFieldSetup,CruiseID,TEXT,,X,StratumTemplate,X,,,,,
StratumTemplateTreeFieldSetup,Field,TEXT,,X,TreeField,X,,,,,
StratumTemplateTreeFieldSetup,FieldOrder,INTEGER,,,,,,,,,
StratumTemplateTreeFieldSetup,IsHidden,BOOLEAN,,,,,,,,,
StratumTemplateTreeFieldSetup,IsLocked,BOOLEAN,,,,,,,,,
StratumTemplateTreeFieldSetup,DefaultValueInt,INTEGER,,,,,,,,,
StratumTemplateTreeFieldSetup,DefaultValueReal,REAL,,,,,,,,,
StratumTemplateTreeFieldSetup,DefaultValueBool,BOOLEAN,,,,,,,,,
StratumTemplateTreeFieldSetup,DefaultValueText,TEXT,,,,,,,,,
StratumTemplateTreeFieldSetup,CreatedBy,TEXT,,,,,,,,,
StratumTemplateTreeFieldSetup,Created_TS,DATETIME,,,,,,,,,
StratumTemplateTreeFieldSetup,ModifiedBy,TEXT,,,,,,,,,
StratumTemplateTreeFieldSetup,Modified_TS,DATETIME,,,,,,,,,
