Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
TreeDefaultValue,TreeDefaultValue_CN,INTEGER,X,,,,,,,,
TreeDefaultValue,CruiseID,TEXT,,X,Cruise,X,,,,,
TreeDefaultValue,SpeciesCode,TEXT,,,,,,,,,
TreeDefaultValue,PrimaryProduct,TEXT,,,,,,,,,
TreeDefaultValue,CullPrimary,REAL,,,,,,0,100,,
TreeDefaultValue,CullPrimaryDead,REAL,,,,,,0,100,,
TreeDefaultValue,HiddenPrimary,REAL,,,,,,0,100,,
TreeDefaultValue,HiddenPrimaryDead,REAL,,,,,,0,100,,
TreeDefaultValue,TreeGrade,TEXT,,,,,,,,,"allowed values '0', '1', '2', '3', '4', '5', '6', '7', '8', '9'"
TreeDefaultValue,TreeGradeDead,TEXT,,,,,,,,,"allowed values '0', '1', '2', '3', '4', '5', '6', '7', '8', '9'"
TreeDefaultValue,CullSecondary,REAL,,,,,,0,100,,
TreeDefaultValue,HiddenSecondary,REAL,,,,,,0,100,,
TreeDefaultValue,Recoverable,REAL,,,,,,0,100,,
TreeDefaultValue,MerchHeightLogLength,INTEGER,,,,,,0,,,
TreeDefaultValue,MerchHeightType,TEXT,,,,,,,,,
TreeDefaultValue,FormClass,REAL,,,,,,,,,
TreeDefaultValue,BarkThicknessRatio,REAL,,,,,,,,,
TreeDefaultValue,AverageZ,REAL,,,,,,,,,
TreeDefaultValue,ReferenceHeightPercent,REAL,,,,,,,,,
TreeDefaultValue,CreatedBy,TEXT,,,,,,,,,
TreeDefaultValue,Created_TS,DATETIME,,,,,,,,,
TreeDefaultValue,ModifiedBy,TEXT,,,,,,,,,
TreeDefaultValue,Modified_TS,DATETIME,,,,,,,,,
