Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
TreeMeasurment,TreeMeasurment_CN,INTEGER,X,,,,,,,,
TreeMeasurment,TreeID,TEXT,,X,Tree,X,,,,,
TreeMeasurment,SeenDefectPrimary,REAL,,,,,,0,100,,
TreeMeasurment,SeenDefectSecondary,REAL,,,,,,0,100,,
TreeMeasurment,RecoverablePrimary,REAL,,,,,,0,100,,
TreeMeasurment,HiddenPrimary,REAL,,,,,,0,100,,
TreeMeasurment,Grade,TEXT,,,,,,,,,"allowed values '0', '1', '2', '3', '4', '5', '6', '7', '8', '9'"
TreeMeasurment,HeightToFirstLiveLimb,REAL,,,,,,0,,,
TreeMeasurment,PoleLength,REAL,,,,,,0,,,
TreeMeasurment,ClearFace,TEXT,,,,,,,,,
TreeMeasurment,CrownRatio,REAL,,,,,,,,,
TreeMeasurment,DBH,REAL,,,,,,0,,,
TreeMeasurment,DRC,REAL,,,,,,0,,,
TreeMeasurment,TotalHeight,REAL,,,,,,0,,,
TreeMeasurment,MerchHeightPrimary,REAL,,,,,,0,,,
TreeMeasurment,MerchHeightSecondary,REAL,,,,,,0,,,
TreeMeasurment,FormClass,REAL,,,,,,0,,,
TreeMeasurment,UpperStemDiameter,REAL,,,,,,0,,,
TreeMeasurment,UpperStemHeight,REAL,,,,,,0,,,
TreeMeasurment,DBHDoubleBarkThickness,REAL,,,,,,0,,,
TreeMeasurment,TopDIBPrimary,REAL,,,,,,0,,,
TreeMeasurment,TopDIBSecondary,REAL,,,,,,0,,,
TreeMeasurment,DefectCode,TEXT,,,,,,,,,
TreeMeasurment,DiameterAtDefect,REAL,,,,,,0,,,
TreeMeasurment,VoidPercent,REAL,,,,,,0,100,,
TreeMeasurment,Slope,REAL,,,,,,0,200,,
TreeMeasurment,Aspect,REAL,,,,,,0,360,,
TreeMeasurment,Remarks,TEXT,,,,,,,,,
TreeMeasurment,IsFallBuckScale,BOOLEAN,,,,,,,,,allowed values 0 1
TreeMeasurment,MetaData,TEXT,,,,,,,,,
TreeMeasurment,Initials,TEXT,,,,,,,,,
TreeMeasurment,CreatedBy,TEXT,,,,,,,,,
TreeMeasurment,Created_TS,DATETIME,,,,,,,,,
TreeMeasurment,ModifiedBy,TEXT,,,,,,,,,
TreeMeasurment,Modified_TS,DATETIME,,,,,,,,,
