Table,FieldName,DbType,IsPK,IsFK,References,NotNull,Description,Min,Max,RegionsUsing,AdditionalRemarks
ValueEquation,CruiseID,TEXT,,X,Cruise,X,,,,,
ValueEquation,Species,TEXT,,,,X,,,,,
ValueEquation,PrimaryProduct,TEXT,,,,X,,,,,
ValueEquation,ValueEquationNumber,TEXT,,,,,,,,,
ValueEquation,Grade,TEXT,,,,,,,,,
ValueEquation,Coefficient1,REAL,,,,,,,,,
ValueEquation,Coefficient2,REAL,,,,,,,,,
ValueEquation,Coefficient3,REAL,,,,,,,,,
ValueEquation,Coefficient4,REAL,,,,,,,,,
ValueEquation,Coefficient5,REAL,,,,,,,,,
ValueEquation,Coefficient6,REAL,,,,,,,,,
ValueEquation,CreatedBy,TEXT,,,,,,,,,
ValueEquation,Created_TS,DATETIME,,,,,,,,,
ValueEquation,ModifiedBy,TEXT,,,,,,,,,
ValueEquation,Modified_TS,DATETIME,,,,,,,,,
