Schema,Table,Column,Type,Primary Key,AutoIncrement,Is Transitional PK,Unique,Foreign Key,References,Required,Default,NotNull,Min,Max,Values,ErrorMessage,Description,Development Notes,Depreciated,DontTrackUpdates
,Sale,Sale_CN,INTEGER,X,X,,,,,,,,,,,,,"may not need this field, could probably just use the natural key (SaleNumber) since there is only one Sale/Cruise per file",,
,Sale,SaleNumber,TEXT,,,,X,,,X,,,,,,,,need to make sure this field is standardized between tbles,,
,Sale,Name,TEXT,,,,,,,,,,,,,,,,,
,Sale,Purpose,TEXT,,,,,,,,,,,,,,"timber sale, right-of-way, etc",,,
,Sale,Region,TEXT,,,,,,,X,,,,,01 02 03 04 05 06 07 08 09 10 11 12,Invalid Region,,,,
,Sale,Forest,TEXT,,,,,,,X,,,,,,,,,,
,Sale,District,TEXT,,,,,,,X,,,,,,,,,,
,Sale,MeasurementYear,TEXT,,,,,,,,,,,,,,,is this replacing measurment sys?,,
,Sale,CalendarYear,INTEGER,,,,,,,,,,1000,9999,,Year Out of Range,,,,
,Sale,LogGradingEnabled,BOOLEAN,,,,,,,,,,,,,,,,,
,Sale,Remarks,TEXT,,,,,,,,,,,,,,,,,
,Sale,DefaultUOM,TEXT,,,,,,,,,,,,,,,,,
,CuttingUnit,CuttingUnit_CN,INTEGER,X,X,,,,,,,,,,,,,surrogate key,,
,CuttingUnit,Code,TEXT,,,,X,,,X,,,,,,,,is this a name or a number?  Need some standard for naming these,,
,CuttingUnit,Area,REAL,,,,,,,X,,,0,9999999,,Area Out of Range,,,,
,CuttingUnit,Description,TEXT,,,,,,,,,,,,,,,,,
,CuttingUnit,LoggingMethod,TEXT,,,,,,,,,,,,,,,,,
,CuttingUnit,PaymentUnit,TEXT,,,,,,,,,,,,,,,,,
,CuttingUnit,TallyHistory,TEXT,,,,,,,,,,,,,,,,,
,CuttingUnit,Rx,TEXT,,,,,,,,,,,,,,,,,
,Stratum,Stratum_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,Stratum,Code,TEXT,,,,X,,,X,,,,,,,,"Is Code the ""name"" of the group?  See notes above about standardizing the ""name"" column for each table.",,
,Stratum,Description,TEXT,,,,,,,,,,,,,,,,,
,Stratum,Method,TEXT,,,,,,,X,,,,,,,,,,
,Stratum,BasalAreaFactor,REAL,,,,,,,,,,0,99.99,,BAF Out of Range,,,,
,Stratum,FixedPlotSize,REAL,,,,,,,,,,0,9999,,Fixed Plot Size Out of Range,,,,
,Stratum,KZ3PPNT,INTEGER,,,,,,,,,,,,,,,,,
,Stratum,SamplingFrequency,INTEGER,,,,,,,,,,,,,,,,,
,Stratum,Hotkey,TEXT,,,,,,,,,,,,,,,,,
,Stratum,FBSCode,TEXT,,,,,,,,,,,,,,,,,
,Stratum,YieldComponent,TEXT,,,,,,,,CL,,,,,,,,,
,Stratum,Month,INTEGER,,,,,,,,,,1,12,,Month Out of Range,,,,
,Stratum,Year,INTEGER,,,,,,,,,,1900,2199,,Year Out of Range,,,,
,CuttingUnitStratum,CuttingUnit_CN,INTEGER,,,,X,X,CuttingUnit,X,,,,,,,,,,
,CuttingUnitStratum,Stratum_CN,INTEGER,,,,X,X,Stratum,X,,,,,,,,,,
,CuttingUnitStratum,StratumArea,REAL,,,,,,,,null,,,,,,,,,
,SampleGroup,SampleGroup_CN,INTEGER,X,X,,,,,,,,,,,,,,,
,SampleGroup,Stratum_CN,INTEGER,,,,X,X,Stratum,X,,,,,,,,,,
,SampleGroup,Code,TEXT,,,,X,,,X,,,,,,,,,,
,SampleGroup,CutLeave,TEXT,,,,,,,X,,,,,C L,Invalid Cut Leave Value,,,,
,SampleGroup,UOM,TEXT,,,,,,,X,,,,,01 02 03 04 05,Invalid UOM ,,What is the natural key for this table?,,
,SampleGroup,PrimaryProduct,TEXT,,,,,,,X,,,,,,,,,,
,SampleGroup,SecondaryProduct,TEXT,,,,,,,,,,,,,,,,,
,SampleGroup,BiomassProduct,TEXT,,,,,,,,,,,,,,,,,
,SampleGroup,DefaultLiveDead,TEXT,,,,,,,,,X,,,,,default for the sample group,,,
,SampleGroup,SamplingFrequency,INTEGER,,,,,,,,,,0,,,Frequency Must Be a Positive Number,,,,
,SampleGroup,InsuranceFrequency,INTEGER,,,,,,,,,,0,,,Frequency Must Be a Positive Number,,,,
,SampleGroup,KZ,INTEGER,,,,,,,,,,0,,,KZ Must Be a Positive Number,,,,
,SampleGroup,BigBAF,REAL,,,,,,,,,,0,,,BigBAG Must Be a Postive Number,,,,
,SampleGroup,SmallFPS,REAL,,,,,,,,,,,,,,,,,
,SampleGroup,TallyMethod,ENUM:TallyMode,,,,,,,,,,,,,,,,,
,SampleGroup,Description,TEXT,,,,,,,,,,,,,,,,,
,SampleGroup,SampleSelectorType,TEXT,,,,,,,,,,,,,,,,,
,SampleGroup,SampleSelectorState,TEXT,,,,,,,,,,,,,,,,,
,SampleGroup,MinKPI,INTEGER,,,,,,,,,,,,,,,,,
,SampleGroup,MaxKPI,INTEGER,,,,,,,,,,,,,,,,,
